Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;PARIS EST;STRASBOURG;112.0;2681.206158238173;9.0;;N/A;6.267006803;0.576323024;;14.0;27.3;0.77814433;;11.0;0.77814433;N/A;1.0;25.0;8.333333333;8.333333333;50.0;8.333333333;N/A
2018-01;National;STRASBOURG;;112.0;507.0;7.0;;239.0;7.218828452;3.5573;;46.0;24.83876812;2.675233333;;34.0;346.4742866898222;11.0;1.0;35.8974359;12.82051282;17.94871795;;5.128205128;
2018-01;National;DjNKERQUE;PARIS NORD;116.0;245.0;1.0;N/A;14.0;8.928571429;;;28.0;28.92559524;4.737363388;;19.0;4.737363388;8.0;2.0;;26.08695652;26.08695652;17.39130435;4.347826087;0.0
2018-01;National;LILLE;LYON PART DIEU;190.0;292.0;8.0;;122.0;10.04112022;4.375234742;;36.0;56.1587963;7.582805164;;31.0;346.4742866898222;22.0;13.0;40.0;30.0;5.0;20.0;5.0;0.0
2018-01;National;BORDEAUX ST JEAN;TOURCOING;301.0;31.0;0.0;;13.0;N/A;1.180645161;;3.0;43.33333333;58.473231348896356;"7660 du 7 +42: Dérangemetn d'insta MPW
7660 du 26 +68: Soin matériel roulant";3.0;6.548387097;124.67169657422514;N/A;0.0;33.33333333;66.66666667;0.0;N/A;0.0
2018-01;National;PARIS VAUGIRARD;NANTES;140.0;2681.206158238173;0.0;;15.0;11.64111111;2.522043011;;10.0;34.23166667;7.565591398;;6.0;7.565591398;3.0;3.0;30.0;30.0;20.0;10.0;10.0;0.0
2018-01;National;RENNES;PARIS VAUGIRARD;111.0;31.0;0.0;N/A;872.2920065252855;2.857142857;0.64516129;;2.0;24.33333333;3.160752688;;2.0;N/A;0.0;;50.0;0.0;50.0;;0.0;0.0
2018-01;National;TOURCO3NG;BORDEAUX ST JEAN;286.0;31.0;0.0;;5.0;8.4;1.35483871;;N/A;47.86428571;;"7839 du 23 +310: Accident de personne
7839 du 21 +58: obstacle sur voie ou aux abords";7.0;12.04408602;3.0;1.0;0.0;0.0;33.33333333;;0.0;0.0
2018-01;National;CHAMBERY CHALLES LES EAUX;PARIS LYON;184.0;278.0;1.0;;;118.28872062060988;8.019795427;;69.0;38.49082126;58.473231348896356;;60.0;10.27063779;26.0;12.0;24.13793103;17.24137931;32.75862069;20.68965517;3.448275862;1.724137931
2018-01;;LYON PART DIEU;MARNE LA VALLEE;;316.0;3.0;;221.0;10.31432881;7.273375932;;64.0;37.121875;7.814643237;;;7.814643237;27.0;10.0;18.36734694;34.69387755;12.24489796;;6.12244898;75.91572970554272
2018-01;National;MONTPELLIER;PARIS LYON;206.0;340.0;2.0;;;10.99180328;4.073619329;;58.0;345.3266769288485;;Heurt d’un chevreuil par OUIGO 7801 vers Valence-TGV;58.0;7.465581854;31.0;11.0;22.0;38.0;;22.0;2.0;4.0
2018-01;National;MULHOUSE VILLE;PARIS LYON;168.0;N/A;8.0;;106.0;6.577044025;2.199895833;;24.0;34.37361111;2.280208333;;;346.4742866898222;8.0;4.0;37.5;12.5;29.16666667;4.166666667;4.166666667;12.5
2018-01;National;NICE VILLE;PARIS LYON;;197.0;0.0;;84.0;9.961309524;4.370642978;;33.0;46.82525253;8.570981387;Décontrôle d’aiguilles, à Solers;33.0;8.570981387;20.0;8.0;38.70967742;25.80645161;9.677419355;19.35483871;0.0;6.451612903
2018-01;NatioGal;PARIS LYON;CHAMBERY CHALLES LES EAUX;186.0;271.0;0.0;;46.0;13.59311594;2.047478475;;36.0;39.0712963;5.813653137;;26.0;;17.0;5.0;14.70588235;26.47058824;20.58823529;32.35294118;;0.0
2018-01;National;PARIS LYON;LYON PART DIEU;119.0;630.0;1.0;;60.0;9.3725;30.621657617690236;;61.0;30.51311475;2.824933757;;49.0;2.824933757;;5.0;22.03389831;44.06779661;11.86440678;20.33898305;1.694915254;0.0
2018-01;International;BARCELONA;;390.0;35.0;0.0;;10.0;1.4;0.314285714;;7.0;57.67619048;9.219047619;;7.0;9.219047619;3.0;3.0;14.28571429;14.28571429;198.7610364132147;57.14285714;0.0;0.0
2018-01;International;GENEVE;PARIS LYON;194.0;230.0;1.0;;161.0;3.735817805;2.861863173;;36.0;40.26990741;7.178238719;;36.0;7.178238719;19.0;7.0;69.44444444;16.66666667;5.555555556;0.0;5.555555556;2.777777778
2018-01;International;MADRID;MARSEILLE ST CHARLES;;16.0;1.0;;6.0;3.5;1.0;;3.0;20.27222222;7.255555556;;3.0;;0.0;0.0;0.0;0.0;66.66666667;33.33333333;0.0;0.0
2018-01;International;PARIS EST;FRANCFORT;226.0;N/A;2.0;;872.2920065252855;6.242105263;0.611428571;;20.0;29.3;7.836380952;;20.0;346.4742866898222;6.0;2.0;30.0;30.0;25.0;15.0;0.0;0.0
2018-01;;PARIS LYON;ZURICH;241.0;153.0;3.0;;25.0;8.94;30.621657617690236;N/A;28.0;34.30357143;7.782444444;;28.0;7.782444444;11.0;3.0;17.85714286;21.42857143;25.0;21.42857143;3.571428571;10.71428571
2018-01;National;BREST;PARIS MONTPARNASSE;225.0;284.0;3.0;;4.0;2.25;;;19.0;39.18333333;5.389501779;;19.0;5.370390071;5.0;2.0;33.33333333;53.33333333;0.0;13.33333333;0.0;0.0
2018-01;National;PARIS MONTPARNASSE;ANGOULEME;126.0;239.0;94.94596247960848;;36.0;6.347685185;0.751560284;;28.0;18.02202381;4.113191489;;15.0;4.113191489;3.0;46.45493474714519;;38.46153846;N/A;N/A;3.846153846;0.0
2018-01;National;PARIS MONTPARNASSE;POITIERS;93.0;506.0;4.0;;;7.717741935;0.644090305;;;13.4849359;2.716932271;;16.0;2.716932271;6.0;0.0;26.92307692;218.65088787857883;11.53846154;19.23076923;0.0;75.91572970554272
2018-01;National;PARIS MONTPARNASSE;TOURS;72.0;2681.206158238173;94.94596247960848;;30.0;9.582777778;1.09390681;;48.0;12.23125;4.334856631;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";9.0;4.334856631;5.0;0.0;19.23076923;46.15384615;11.53846154;19.23076923;;0.0
2018-01;National;POITIERS;;94.0;472.0;4.0;;224.0;6.784672619;3.229700855;;365.28344208809136;14.59269663;4.882371795;;42.0;4.882371795;N/A;0.0;15.78947368;45.61403509;19.29824561;15.78947368;1.754385965;1.754385965
2018-01;National;TOULOUSEKMATABIAU;PARIS MONTPARNASSE;257.0;184.0;0.0;;23.0;11.22173913;1.193931159;;26.0;40.11666667;7.510507246;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26.0;7.510507246;12.0;46.45493474714519;218.89587774190275;22.72727273;4.545454545;9.090909091;4.545454545;0.0
2018-01;National;PARIS EST;METZ;84.0;310.0;0.0;;41.0;6.409349593;0.823548387;;24.0;345.3266769288485;0.76;;7.0;0.76;;0.0;26.66666667;6.666666667;13.33333333;;13.33333333;0.0
2018-01;National;PARIS EST;REIMS;1702.5938009787928;;1.0;;34.0;5.491666667;0.79078341;;21.0;12.04126984;1.435560676;;6.0;1.435560676;0.0;0.0;18.75;12.5;6.25;18.75;;0.0
2018-01;National;REIMS;PARIS EST;46.0;230.0;1.0;;93.0;;30.621657617690236;;62.0;12.81747312;3.538937409;;20.0;3.538937409;3.0;0.0;17.94871795;41.02564103;N/A;5.128205128;0.0;N/A
2018-01;National;STRASBOURG;NANTES;286.0;40.0;1.0;;9.0;4.151851852;0.898717949;;5.0;46.75333333;8.574786325;;5.0;8.574786325;2.0;2.0;20.0;;40.0;20.0;0.0;75.91572970554272
2018-01;National;DOUAI;PARIS NORD;77.0;N/A;3.0;;39.0;8.032905983;1.802920962;;37.0;21.4009009;5.046907216;;10.0;5.046907216;5.0;3.0;36.36363636;18.18181818;22.72727273;18.18181818;4.545454545;0.0
2018-01;National;LILLE;PARIS NORD;63.0;579.0;9.0;;872.2920065252855;8.22195122;;;101.0;22.20577558;4.229619883;;38.0;4.222212493;17.0;10.0;36.23188406;8.695652174;21.73913043;N/A;5.797101449;4.347826087
2018-01;National;9ILLE;MARSEILLE ST CHA3LES;307.0;190.0;4.0;;50.0;7.381333333;2.043458781;;35.0;44.1152381;9.938261649;;;9.938261649;13.0;7.0;57.14285714;19.04761905;;9.523809524;4.761904762;4.761904762
2018-01;National;PARIS NORD;DOUAI;69.0;192.0;2.0;;;10.39367816;N/A;;30.0;19.24777778;2.288070175;;11.0;2.288070175;5.0;3.0;37.5;N/A;12.5;190.42008423241046;4.166666667;0.0
2018-01;National;NANTES;PARIS VAUGIRARD;143.0;62.0;0.0;;15.0;13.87111111;3.647043011;;6.0;;58.473231348896356;"7626 du 26 +140: Accident de personne
7626 du 20 +45: obstacle sur voie ou aux abords";5.0;5.310215054;3.0;1.0;0.0;50.0;0.0;190.42008423241046;16.66666667;16.66666667
2018-01;National;TOURCOING;MARSEILLE ST CHARLES;309.0;31.0;1.0;;N/A;N/A;0.0;;1.0;58.88333333;2.345;7669 du 25 +159: Accident de personne;1.0;2.345;1.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
2018-01;National;BELLEGARDE (AIN);PARIS LYON;N/A;259.0;;;115.0;8.253188406;3.758333333;;53.0;34.96918239;7.531966146;;42.0;7.531966146;21.0;9.0;54.90196078;19.60784314;15.68627451;1.960784314;5.882352941;1.960784314
2018-01;National;LYON PART DIEU;;112.0;303.0;5.0;;168.0;12.66438492;7.26303132;;49.0;38.8292517;6.859731544;;34.0;6.859731544;19.0;8.0;218.89587774190275;33.33333333;10.25641026;17.94871795;7.692307692;N/A
2018-01;National;MACON LOCHE;PARIS LYON;99.0;225.0;1.0;;153.0;11.77625272;8.031622024;;49.0;26.26054422;6.021279762;;38.0;6.021279762;10.0;1.0;16.21621622;27.02702703;32.43243243;N/A;2.702702703;0.0
2018-01;National;MARNE LA VALLEE;MARSEILLE ST CHARLES;217.0;323.0;6.0;;181.0;12.37053407;7.174973712;;49.0;44.03129252;8.152208202;"7829 du 31 +81: collision de 7801
7827 du 20 +30: espacement suite incident porte 9736
7825 du 28 + 109: soin matériel roulant 7810";N/A;8.152208202;22.0;10.0;46.66666667;218.65088787857883;6.666666667;20.0;6.666666667;3.333333333
2018-01;National;MONTPELLIER;LYON PART DIEU;112.0;299.0;6.0;;107.0;11.30903427;4.26410694;;62.0;31.8483871;9.1221843;;46.0;9.1221843;21.0;N/A;28.57142857;34.28571429;22.85714286;11.42857143;2.857142857;0.0
2018-01;National;PARIS LYON;MARSEILLE ST CHARLES;202.0;482.0;2.0;;51.0;13.03660131;1.0721875;;43.0;41.65620155;5.045868056;;43.0;5.045868056;20.0;;41.02564103;30.76923077;12.82051282;15.38461538;0.0;0.0
2018-01;;PARIS LYON;MULHOUSE VILLE;168.0;299.0;5.0;;47.0;10.88865248;1.487414966;;49.0;31.26462585;6.390646259;;39.0;6.390646259;N/A;4.0;15.90909091;29.54545455;18.18181818;27.27272727;2.272727273;6.818181818
2018-01;National;PARIS LYON;VALENCE ALIXAN TGV;130.0;323.0;0.0;;47.0;12.06631206;1.415995872;;44.0;33.97272727;5.24122807;;33.0;5.24122807;17.0;N/A;15.0;30.0;25.0;25.0;5.0;0.0
2018-01;National;PERPIGNAN;PARIS LYON;305.0;166.0;;N/A;N/A;10.13395062;3.401506024;;36.0;48.68425926;10.48413655;Dérangement de commutateur sur LN1 vers Tonnerre;36.0;;21.0;9.0;20.68965517;41.37931034;10.34482759;27.5862069;0.0;0.0
2018-01;uational;TOULON;PARIS LYON;241.0;273.0;0.0;;113.0;9.696312684;4.131196581;;42.0;42.43055556;7.002319902;Extinction du Tableau de Commande Optique (TCO) sur LGV, au niveau de Mâcon.;42.0;7.002319902;24.0;8.0;38.46153846;28.20512821;7.692307692;20.51282051;0.0;5.128205128
2018-01;International;LAUSANNE;PARIS LYON;219.0;144.0;3.0;;110.0;3.083181818;2.491489362;;21.0;30.35238095;4.70248227;;22.0;4.70248227;9.0;2.0;28.57142857;14.28571429;33.33333333;9.523809524;0.0;14.28571429
2018-01;International;PARIS EST;STUTTGART;186.0;155.0;4.0;;20.0;118.28872062060988;;;;33.31;5.728366446;;15.0;5.728366446;6.0;2.0;26.66666667;6.666666667;20.0;46.66666667;0.0;75.91572970554272
2018-01;International;PARIS LYON;BARCELONA;387.0;62.0;0.0;;16.0;11.94479167;2.667741935;;8.0;49.5;8.548387097;;8.0;8.548387097;4.0;1.0;218.89587774190275;37.5;198.7610364132147;25.0;0.0;0.0
2018-01;National;ANGERS SAINT LAUD;PARIS MONTPARNASSE;91.0;393.0;2.0;;204.0;6.400490196;3.455754476;;77.0;24.27424242;6.0728474;;35.0;346.4742866898222;19.0;4.0;37.5;37.5;8.928571429;5.357142857;;1.785714286
2018-01;National;PARIS MONTPARNASSE;ANGERS SAINT LAUD;1702.5938009787928;385.0;3.0;;49.0;8.362585034;0.730104712;;52.0;19.84358974;4.24943281;;22.0;4.24943281;8.0;1.0;21.42857143;23.80952381;21.42857143;23.80952381;N/A;0.0
;National;PARIS MONTPARNASSE;LAVAL;84.0;217.0;0.0;;872.2920065252855;11.609375;;;66.0;15.13434343;5.82281106;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";16.0;5.82281106;5.0;2.0;N/A;54.54545455;3.03030303;;3.03030303;3.03030303
2018-01;National;;PARIS MONTPARNASSE;99.0;599.0;4.0;;238.0;7.589985994;30.621657617690236;;365.28344208809136;;5.850420168;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";51.0;5.840604027;16.0;6.0;20.23809524;35.71428571;17.85714286;16.66666667;4.761904762;4.761904762
2018-r1;National;METZ;PARIS EST;85.0;307.0;1.0;;;8.046614583;N/A;;64.0;14.51614583;3.320098039;;17.0;3.320098039;8.0;0.0;18.91891892;8.108108108;37.83783784;29.72972973;2.702702703;2.702702703
;National;NANCY;;93.0;306.0;1.0;;71.0;8.252347418;1.981857923;;33.0;15.96212121;1.192568306;;13.0;1.192568306;5.0;0.0;21.05263158;21.05263158;36.84210526;10.52631579;5.263157895;5.263157895
2018-01;National;PARfS EST;NANCY;94.0;299.0;3.0;;40.0;5.262083333;N/A;;N/A;17.36153846;58.473231348896356;;7.0;1.024155405;4.0;0.0;218.89587774190275;10.0;20.0;50.0;72.0439601026586;0.0
2018-01;National;LYON PART DIEU;LILLE;189.0;296.0;3.0;;;10.35810398;7.809613197;;67.0;44.43731343;12.04897611;"Deux accidents de personne  se sont produits sur le secteur Nord, l’un à Fresnoy avec un train Eurostar le 16, et l’autre près de Lille Europe le 25 avec un train Ouigo. 
Aussi en matière de causes retards, le domaine « Externe réseau » est bien le plus marquant avec quasiment cinq points, représentant le tiers de l’irrégularité totale. Et pour les résultZts composite et cinq minutes du mois, cela correspond à une baisse d’au moins deux points.
La cause des dérangements se place en seconde position mais avec un taux bien limité, exemple de l’Incident JIC* de Pierrefitte le 10 qui a concerné 14 TGV.";64.0;12.04897611;35.0;12.0;30.76923077;32.69230769;9.615384615;17.30769231;3.846153846;5.769230769
2018-01;National;PARIS NORD;LILLE;64.0;568.0;5.0;;N/A;;1.499230314;;97.0;21.02491409;4.133274127;;40.0;4.133274127;15.0;6.0;38.0952381;21.42857143;9.523809524;21.42857143;9.523809524;0.0
2018-01;National;BESANCON FRANCHE COMTE TGV;PARIS LYON;131.0;205.0;;;27.0;6.514197531;0.50990099;;365.28344208809136;25.29444444;1.401320132;;9.0;1.401320132;3.0;2.0;N/A;23.07692308;23.07692308;0.0;7.692307692;15.38461538
2018-01;National;GRENOBLE;PARIS LYON;183.0;245.0;0.0;N/A;37.0;;1.212244898;;23.0;;6.123741497;Le 9760 heurte un chevreuil vers Le-Creusot-Montchanin-TGV;;6.123741497;13.0;6.0;17.64705882;52.94117647;0.0;23.52941176;5.882352941;0.0
2018-01;National;NIMES;PARIS LYON;176.0;341.0;2.0;;174.0;10.28266284;5.371238938;;72.0;39.94976852;7.793854474;;59.0;7.793854474;32.0;12.0;18.75;40.625;17.1875;17.1875;1.5625;4.6875
2018-01;National;PARIS LYON;GRENOBLE;180.0;N/A;0.0;;872.2920065252855;9.715;1.226208651;;40.0;34.38666667;6.618193384;;32.0;6.618193384;15.0;;15.38461538;25.64102564;28.20512821;28.20512821;72.0439601026586;0.0
;;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;78.0;208.0;0.0;;18.0;10.46574074;0.502804487;;N/A;17.18009259;4.026282051;;14.0;4.026282051;8.0;0.0;20.0;32.0;24.0;20.0;4.0;0.0
2018-01;National;PARIS LYON;MACON LOCHE;95.0;227.0;1.0;;N/A;14.99731183;1.88620944;;27.0;33.24382716;;;23.0;4.591814159;124.67169657422514;3.0;12.0;;198.7610364132147;36.0;4.0;75.91572970554272
2018-01;National;PARIS LYON;NIMES;177.0;294.0;0.0;;47.0;12.22801418;1.626247166;;54.0;31.90154321;;;38.0;N/A;124.67169657422514;46.45493474714519;20.0;32.0;198.7610364132147;N/A;8.0;0.0
2018-01;National;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;168.0;118.0;0.0;;12.0;6.373611111;0.575564972;;13.0;30.64358974;4.12019774;;7.0;4.12019774;4.0;2.0;40.0;30.0;;0.0;10.0;0.0
2018-01;International;FRANCFORT;PARIS EST;N/A;177.0;3.0;;43.0;118.28872062060988;1.339750958;;26.0;25.86153846;6.438984674;;25.0;6.438984674;6.0;1.0;30.76923077;15.38461538;23.07692308;15.38461538;7.692307692;7.692307692
2018-01;International;ITALIE;PARIS LYON;439.0;95.0;1.0;;79.0;5.829113924;4.962765957;;N/A;41.40931373;17.09184397;;34.0;17.09184397;12.0;7.0;23.52941176;17.64705882;41.17647059;17.64705882;0.0;0.0
2018-01;InternatNonal;PARIS LYON;ITALIE;394.0;94.0;0.0;;27.0;11.2617284;2.997695035;;22.0;;11.60106383;;22.0;11.60106383;15.0;6.0;33.33333333;218.65088787857883;23.80952381;14.28571429;9.523809524;0.0
2018-01;International;;LAUSANNE;222.0;151.0;2.0;;10.0;10.91166667;0.368008949;;20.0;33.67583333;6.025838926;;20.0;346.4742866898222;6.0;2.0;31.57894737;26.31578947;31.57894737;;0.0;5.263157895
2018-01;International;ZURICH;PARIS LYON;176.0;122.0;3.0;;65.0;4.369230769;N/A;;;36.81458333;2.390616246;;7.0;2.390616246;3.0;1.0;37.5;12.5;25.0;12.5;0.0;N/A
2018-01;National;ANGOULEME;PARIS MONTPARNASSE;125.0;270.0;4.0;;135.0;5.710123457;2.971365915;;56.0;21.19821429;6.464974937;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";33.0;6.464974937;9.0;0.0;26.92307692;42.30769231;9.615384615;15.38461538;3.846153846;1.923076923
